,0
0,0
1,0
2,0
3,0
4,0
5,9
6,37
7,19
8,1
9,12
10,34
11,11
12,36
13,33
14,14
15,0
16,0
17,0
18,0
19,0
20,21
21,7
22,27
23,16
24,13
25,2
26,4
27,25
28,22
29,8
30,0
31,0
32,0
33,0
34,0
35,15
36,3
37,30
38,23
39,38
40,6
41,5
42,29
43,32
44,40
45,0
46,0
47,0
48,0
49,0
50,31
51,28
52,20
53,39
54,18
55,24
56,17
57,26
58,10
59,35
60,0
61,0
62,0
63,0
64,0
65,9
66,37
67,19
68,1
69,12
70,34
71,11
72,36
73,33
74,14
75,0
76,0
77,0
78,0
79,0
80,21
81,7
82,27
83,16
84,13
85,2
86,4
87,25
88,22
89,8
90,0
91,0
92,0
93,0
94,0
95,15
96,3
97,30
98,23
99,38
100,6
101,5
102,29
103,32
104,40
105,0
106,0
107,0
108,0
109,0
110,31
111,28
112,20
113,39
114,18
115,24
116,17
117,26
118,10
119,35
120,0
121,0
122,0
123,0
