trial_type	onset	duration
Baseline 	0.0	2.5
Baseline 	2.5	2.5
Baseline 	5.0	2.5
Baseline 	7.5	2.5
Baseline 	10.0	2.5
Baseline 	12.5	2.5
Task 	15.0	2.5
Task 	17.5	2.5
Task 	20.0	2.5
Task 	22.5	2.5
Task 	25.0	2.5
Task 	27.5	2.5
Task 	30.0	2.5
Task 	32.5	2.5
Task 	35.0	2.5
Task 	37.5	2.5
Task 	40.0	2.5
Task 	42.5	2.5
Baseline 	45.0	2.5
Baseline 	47.5	2.5
Baseline 	50.0	2.5
Baseline 	52.5	2.5
Baseline 	55.0	2.5
Baseline 	57.5	2.5
Task 	60.0	2.5
Task 	62.5	2.5
Task 	65.0	2.5
Task 	67.5	2.5
Task 	70.0	2.5
Task 	72.5	2.5
Task 	75.0	2.5
Task 	77.5	2.5
Task 	80.0	2.5
Task 	82.5	2.5
Task 	85.0	2.5
Task 	87.5	2.5
Baseline 	90.0	2.5
Baseline 	92.5	2.5
Baseline 	95.0	2.5
Baseline 	97.5	2.5
Baseline 	100.0	2.5
Baseline 	102.5	2.5
Task 	105.0	2.5
Task 	107.5	2.5
Task 	110.0	2.5
Task 	112.5	2.5
Task 	115.0	2.5
Task 	117.5	2.5
Task 	120.0	2.5
Task 	122.5	2.5
Task 	125.0	2.5
Task 	127.5	2.5
Task 	130.0	2.5
Task 	132.5	2.5
Baseline 	135.0	2.5
Baseline 	137.5	2.5
Baseline 	140.0	2.5
Baseline 	142.5	2.5
Baseline 	145.0	2.5
Baseline 	147.5	2.5
Task 	150.0	2.5
Task 	152.5	2.5
Task 	155.0	2.5
Task 	157.5	2.5
Task 	160.0	2.5
Task 	162.5	2.5
Task 	165.0	2.5
Task 	167.5	2.5
Task 	170.0	2.5
Task 	172.5	2.5
Task 	175.0	2.5
Task 	177.5	2.5
Baseline 	180.0	2.5
Baseline 	182.5	2.5
Baseline 	185.0	2.5
Baseline 	187.5	2.5
Baseline 	190.0	2.5
Baseline 	192.5	2.5
Task 	195.0	2.5
Task 	197.5	2.5
Task 	200.0	2.5
Task 	202.5	2.5
Task 	205.0	2.5
Task 	207.5	2.5
Task 	210.0	2.5
Task 	212.5	2.5
Task 	215.0	2.5
Task 	217.5	2.5
Task 	220.0	2.5
Task 	222.5	2.5
Baseline 	225.0	2.5
Baseline 	227.5	2.5
Baseline 	230.0	2.5
Baseline 	232.5	2.5
Baseline 	235.0	2.5
Baseline 	237.5	2.5
Task 	240.0	2.5
Task 	242.5	2.5
Task 	245.0	2.5
Task 	247.5	2.5
Task 	250.0	2.5
Task 	252.5	2.5
Task 	255.0	2.5
Task 	257.5	2.5
Task 	260.0	2.5
Task 	262.5	2.5
Task 	265.0	2.5
Task 	267.5	2.5
Baseline 	270.0	2.5
Baseline 	272.5	2.5
Baseline 	275.0	2.5
Baseline 	277.5	2.5
Baseline 	280.0	2.5
Baseline 	282.5	2.5
Task 	285.0	2.5
Task 	287.5	2.5
Task 	290.0	2.5
Task 	292.5	2.5
Task 	295.0	2.5
Task 	297.5	2.5
Task 	300.0	2.5
Task 	302.5	2.5
Task 	305.0	2.5
Task 	307.5	2.5
Task 	310.0	2.5
Task 	312.5	2.5
Baseline 	315.0	2.5
Baseline 	317.5	2.5
Baseline 	320.0	2.5
Baseline 	322.5	2.5
Baseline 	325.0	2.5
Baseline 	327.5	2.5
Task 	330.0	2.5
Task 	332.5	2.5
Task 	335.0	2.5
Task 	337.5	2.5
Task 	340.0	2.5
Task 	342.5	2.5
Task 	345.0	2.5
Task 	347.5	2.5
Task 	350.0	2.5
Task 	352.5	2.5
Task 	355.0	2.5
Task 	357.5	2.5
Baseline 	360.0	2.5
Baseline 	362.5	2.5
Baseline 	365.0	2.5
Baseline 	367.5	2.5
Baseline 	370.0	2.5
Baseline 	372.5	2.5
Task 	375.0	2.5
Task 	377.5	2.5
Task 	380.0	2.5
Task 	382.5	2.5
Task 	385.0	2.5
Task 	387.5	2.5
Task 	390.0	2.5
Task 	392.5	2.5
Task 	395.0	2.5
Task 	397.5	2.5
Task 	400.0	2.5
Task 	402.5	2.5
Baseline 	405.0	2.5
Baseline 	407.5	2.5
Baseline 	410.0	2.5
Baseline 	412.5	2.5
Baseline 	415.0	2.5
Baseline 	417.5	2.5
Task 	420.0	2.5
Task 	422.5	2.5
Task 	425.0	2.5
Task 	427.5	2.5
Task 	430.0	2.5
Task 	432.5	2.5
Task 	435.0	2.5
Task 	437.5	2.5
Task 	440.0	2.5
Task 	442.5	2.5
Task 	445.0	2.5
Task 	447.5	2.5
Baseline 	450.0	2.5
Baseline 	452.5	2.5
Baseline 	455.0	2.5
Baseline 	457.5	2.5
Baseline 	460.0	2.5
Baseline 	462.5	2.5
Task 	465.0	2.5
Task 	467.5	2.5
Task 	470.0	2.5
Task 	472.5	2.5
Task 	475.0	2.5
Task 	477.5	2.5
Task 	480.0	2.5
Task 	482.5	2.5
Task 	485.0	2.5
Task 	487.5	2.5
Task 	490.0	2.5
Task 	492.5	2.5
Baseline 	495.0	2.5
Baseline 	497.5	2.5
Baseline 	500.0	2.5
Baseline 	502.5	2.5
Baseline 	505.0	2.5
Baseline 	507.5	2.5
Task 	510.0	2.5
Task 	512.5	2.5
Task 	515.0	2.5
Task 	517.5	2.5
Task 	520.0	2.5
Task 	522.5	2.5
Task 	525.0	2.5
Task 	527.5	2.5
Task 	530.0	2.5
Task 	532.5	2.5
Task 	535.0	2.5
Task 	537.5	2.5
Baseline 	540.0	2.5
Baseline 	542.5	2.5
Baseline 	545.0	2.5
Baseline 	547.5	2.5
Baseline 	550.0	2.5
Baseline 	552.5	2.5
