,trial_type,onset,duration
0,0,0,2
1,1,2,2
2,2,4,2
3,3,6,2
4,4,8,2
5,5,10,2
6,6,12,2
7,7,14,2
8,8,16,2
9,9,18,2
10,10,20,2
11,11,22,2
12,12,24,2
13,13,26,2
14,14,28,2
15,15,30,2
16,16,32,2
17,17,34,2
18,18,36,2
19,19,38,2
20,20,40,2
21,21,42,2
22,22,44,2
23,23,46,2
24,24,48,2
25,25,50,2
26,26,52,2
27,27,54,2
28,28,56,2
29,29,58,2
30,30,60,2
31,31,62,2
32,32,64,2
33,33,66,2
34,34,68,2
35,35,70,2
36,36,72,2
37,37,74,2
38,38,76,2
39,39,78,2
40,40,80,2
41,41,82,2
42,42,84,2
43,43,86,2
44,44,88,2
45,45,90,2
46,46,92,2
47,47,94,2
48,48,96,2
49,49,98,2
50,50,100,2
51,51,102,2
52,52,104,2
53,53,106,2
54,54,108,2
55,55,110,2
56,56,112,2
57,57,114,2
58,58,116,2
59,59,118,2
60,60,120,2
61,61,122,2
62,62,124,2
63,63,126,2
64,64,128,2
65,65,130,2
66,66,132,2
67,67,134,2
68,68,136,2
69,69,138,2
70,70,140,2
71,71,142,2
72,72,144,2
73,73,146,2
74,74,148,2
75,75,150,2
76,76,152,2
77,77,154,2
78,78,156,2
79,79,158,2
80,80,160,2
81,81,162,2
82,82,164,2
83,83,166,2
84,84,168,2
85,85,170,2
86,86,172,2
87,87,174,2
88,88,176,2
89,89,178,2
90,90,180,2
91,91,182,2
92,92,184,2
93,93,186,2
94,94,188,2
95,95,190,2
96,96,192,2
97,97,194,2
98,98,196,2
99,99,198,2
100,100,200,2
101,101,202,2
102,102,204,2
103,103,206,2
104,104,208,2
105,105,210,2
106,106,212,2
107,107,214,2
108,108,216,2
109,109,218,2
110,110,220,2
111,111,222,2
112,112,224,2
113,113,226,2
114,114,228,2
115,115,230,2
116,116,232,2
117,117,234,2
118,118,236,2
119,119,238,2
120,120,240,2
121,121,242,2
122,122,244,2
123,123,246,2
124,124,248,2
125,125,250,2
126,126,252,2
127,127,254,2
128,128,256,2
129,129,258,2
130,130,260,2
131,131,262,2
132,132,264,2
133,133,266,2
134,134,268,2
135,135,270,2
136,136,272,2
137,137,274,2
138,138,276,2
139,139,278,2
140,140,280,2
141,141,282,2
142,142,284,2
143,143,286,2
144,144,288,2
145,145,290,2
146,146,292,2
147,147,294,2
148,148,296,2
149,149,298,2
150,150,300,2
151,151,302,2
152,152,304,2
153,153,306,2
154,154,308,2
155,155,310,2
156,156,312,2
157,157,314,2
158,158,316,2
159,159,318,2
160,160,320,2
161,161,322,2
162,162,324,2
163,163,326,2
164,164,328,2
165,165,330,2
166,166,332,2
167,167,334,2
168,168,336,2
169,169,338,2
170,170,340,2
171,171,342,2
172,172,344,2
173,173,346,2
174,174,348,2
175,175,350,2
176,176,352,2
177,177,354,2
178,178,356,2
179,179,358,2
180,180,360,2
181,181,362,2
182,182,364,2
183,183,366,2
184,184,368,2
185,185,370,2
186,186,372,2
187,187,374,2
188,188,376,2
189,189,378,2
190,190,380,2
191,191,382,2
192,192,384,2
193,193,386,2
194,194,388,2
195,195,390,2
196,196,392,2
197,197,394,2
198,198,396,2
199,199,398,2
200,200,400,2
201,201,402,2
202,202,404,2
203,203,406,2
204,204,408,2
205,205,410,2
206,206,412,2
207,207,414,2
208,208,416,2
209,209,418,2
210,210,420,2
211,211,422,2
212,212,424,2
213,213,426,2
214,214,428,2
215,215,430,2
216,216,432,2
217,217,434,2
218,218,436,2
219,219,438,2
220,220,440,2
221,221,442,2
222,222,444,2
223,223,446,2
224,224,448,2
225,225,450,2
226,226,452,2
227,227,454,2
228,228,456,2
229,229,458,2
230,230,460,2
231,231,462,2
232,232,464,2
233,233,466,2
234,234,468,2
235,235,470,2
236,236,472,2
237,237,474,2
238,238,476,2
239,239,478,2
240,240,480,2
241,241,482,2
242,242,484,2
243,243,486,2
244,244,488,2
245,245,490,2
246,246,492,2
247,247,494,2
248,248,496,2
249,249,498,2
250,250,500,2
251,251,502,2
252,252,504,2
253,253,506,2
254,254,508,2
255,255,510,2
256,256,512,2
257,257,514,2
