,Unnamed: 0,trial_type,onset,duration
0,0,Baseline,0,12
1,1,Phrases,12,30
2,2,Baseline,42,12
3,3,Vogals,54,30
4,4,Baseline,84,12
5,5,Words,96,30
6,6,Baseline,126,12
7,7,Syllables,138,30
8,8,Baseline,168,12
9,9,Phrases,180,30
10,10,Baseline,210,12
11,11,Syllables,222,30
12,12,Baseline,252,12
13,13,Vogals,264,30
14,14,Baseline,294,12
15,15,Words,306,30
16,16,Baseline,336,12
17,17,Syllables,348,30
18,18,Baseline,378,12
19,19,Words,390,30
20,20,Baseline,420,12
21,21,Vogals,432,30
22,22,Baseline,462,12
23,23,Phrases,474,30
24,24,Baseline,504,12
0,0,Baseline,516,12
1,1,Phrases,528,30
2,2,Baseline,558,12
3,3,Syllables,570,30
4,4,Baseline,600,12
5,5,Vogals,612,30
6,6,Baseline,642,12
7,7,Words,654,30
8,8,Baseline,684,12
9,9,Syllables,696,30
10,10,Baseline,726,12
11,11,Vogals,738,30
12,12,Baseline,768,12
13,13,Words,780,30
14,14,Baseline,810,12
15,15,Phrases,822,30
16,16,Baseline,852,12
17,17,Vogals,864,30
18,18,Baseline,894,12
19,19,Words,906,30
20,20,Baseline,936,12
21,21,Syllables,948,30
22,22,Baseline,978,12
23,23,Phrases,990,30
24,24,Baseline,1020,12
0,0,Baseline,1032,12
1,1,Syllables,1044,30
2,2,Baseline,1074,12
3,3,Words,1086,30
4,4,Baseline,1116,12
5,5,Phrases,1128,30
6,6,Baseline,1158,12
7,7,Vogals,1170,30
8,8,Baseline,1200,12
9,9,Phrases,1212,30
10,10,Baseline,1242,12
11,11,Words,1254,30
12,12,Baseline,1284,12
13,13,Vogals,1296,30
14,14,Baseline,1326,12
15,15,Syllables,1338,30
16,16,Baseline,1368,12
17,17,Vogals,1380,30
18,18,Baseline,1410,12
19,19,Phrases,1422,30
20,20,Baseline,1452,12
21,21,Syllables,1464,30
22,22,Baseline,1494,12
23,23,Words,1506,30
24,24,Baseline,1536,12
0,0,Baseline,1548,12
1,1,Phrases,1560,30
2,2,Baseline,1590,12
3,3,Vogals,1602,30
4,4,Baseline,1632,12
5,5,Words,1644,30
6,6,Baseline,1674,12
7,7,Syllables,1686,30
8,8,Baseline,1716,12
9,9,Phrases,1728,30
10,10,Baseline,1758,12
11,11,Syllables,1770,30
12,12,Baseline,1800,12
13,13,Vogals,1812,30
14,14,Baseline,1842,12
15,15,Words,1854,30
16,16,Baseline,1884,12
17,17,Syllables,1896,30
18,18,Baseline,1926,12
19,19,Words,1938,30
20,20,Baseline,1968,12
21,21,Vogals,1980,30
22,22,Baseline,2010,12
23,23,Phrases,2022,30
24,24,Baseline,2052,12
0,0,Baseline,2064,12
1,1,Phrases,2076,30
2,2,Baseline,2106,12
3,3,Syllables,2118,30
4,4,Baseline,2148,12
5,5,Vogals,2160,30
6,6,Baseline,2190,12
7,7,Words,2202,30
8,8,Baseline,2232,12
9,9,Syllables,2244,30
10,10,Baseline,2274,12
11,11,Vogals,2286,30
12,12,Baseline,2316,12
13,13,Words,2328,30
14,14,Baseline,2358,12
15,15,Phrases,2370,30
16,16,Baseline,2400,12
17,17,Vogals,2412,30
18,18,Baseline,2442,12
19,19,Words,2454,30
20,20,Baseline,2484,12
21,21,Syllables,2496,30
22,22,Baseline,2526,12
23,23,Phrases,2538,30
24,24,Baseline,2568,12
0,0,Baseline,2580,12
1,1,Syllables,2592,30
2,2,Baseline,2622,12
3,3,Words,2634,30
4,4,Baseline,2664,12
5,5,Phrases,2676,30
6,6,Baseline,2706,12
7,7,Vogals,2718,30
8,8,Baseline,2748,12
9,9,Phrases,2760,30
10,10,Baseline,2790,12
11,11,Words,2802,30
12,12,Baseline,2832,12
13,13,Vogals,2844,30
14,14,Baseline,2874,12
15,15,Syllables,2886,30
16,16,Baseline,2916,12
17,17,Vogals,2928,30
18,18,Baseline,2958,12
19,19,Phrases,2970,30
20,20,Baseline,3000,12
21,21,Syllables,3012,30
22,22,Baseline,3042,12
23,23,Words,3054,30
24,24,Baseline,3084,12
