,0
0,Baseline
1,Baseline
2,Baseline
3,Baseline
4,Baseline
5,Baseline
6,Phrases
7,Phrases
8,Phrases
9,Phrases
10,Phrases
11,Phrases
12,Phrases
13,Phrases
14,Phrases
15,Phrases
16,Phrases
17,Phrases
18,Phrases
19,Phrases
20,Phrases
21,Baseline
22,Baseline
23,Baseline
24,Baseline
25,Baseline
26,Baseline
27,Vogals
28,Vogals
29,Vogals
30,Vogals
31,Vogals
32,Vogals
33,Vogals
34,Vogals
35,Vogals
36,Vogals
37,Vogals
38,Vogals
39,Vogals
40,Vogals
41,Vogals
42,Baseline
43,Baseline
44,Baseline
45,Baseline
46,Baseline
47,Baseline
48,Words
49,Words
50,Words
51,Words
52,Words
53,Words
54,Words
55,Words
56,Words
57,Words
58,Words
59,Words
60,Words
61,Words
62,Words
63,Baseline
64,Baseline
65,Baseline
66,Baseline
67,Baseline
68,Baseline
69,Syllables
70,Syllables
71,Syllables
72,Syllables
73,Syllables
74,Syllables
75,Syllables
76,Syllables
77,Syllables
78,Syllables
79,Syllables
80,Syllables
81,Syllables
82,Syllables
83,Syllables
84,Baseline
85,Baseline
86,Baseline
87,Baseline
88,Baseline
89,Baseline
90,Phrases
91,Phrases
92,Phrases
93,Phrases
94,Phrases
95,Phrases
96,Phrases
97,Phrases
98,Phrases
99,Phrases
100,Phrases
101,Phrases
102,Phrases
103,Phrases
104,Phrases
105,Baseline
106,Baseline
107,Baseline
108,Baseline
109,Baseline
110,Baseline
111,Syllables
112,Syllables
113,Syllables
114,Syllables
115,Syllables
116,Syllables
117,Syllables
118,Syllables
119,Syllables
120,Syllables
121,Syllables
122,Syllables
123,Syllables
124,Syllables
125,Syllables
126,Baseline
127,Baseline
128,Baseline
129,Baseline
130,Baseline
131,Baseline
132,Vogals
133,Vogals
134,Vogals
135,Vogals
136,Vogals
137,Vogals
138,Vogals
139,Vogals
140,Vogals
141,Vogals
142,Vogals
143,Vogals
144,Vogals
145,Vogals
146,Vogals
147,Baseline
148,Baseline
149,Baseline
150,Baseline
151,Baseline
152,Baseline
153,Words
154,Words
155,Words
156,Words
157,Words
158,Words
159,Words
160,Words
161,Words
162,Words
163,Words
164,Words
165,Words
166,Words
167,Words
168,Baseline
169,Baseline
170,Baseline
171,Baseline
172,Baseline
173,Baseline
174,Syllables
175,Syllables
176,Syllables
177,Syllables
178,Syllables
179,Syllables
180,Syllables
181,Syllables
182,Syllables
183,Syllables
184,Syllables
185,Syllables
186,Syllables
187,Syllables
188,Syllables
189,Baseline
190,Baseline
191,Baseline
192,Baseline
193,Baseline
194,Baseline
195,Words
196,Words
197,Words
198,Words
199,Words
200,Words
201,Words
202,Words
203,Words
204,Words
205,Words
206,Words
207,Words
208,Words
209,Words
210,Baseline
211,Baseline
212,Baseline
213,Baseline
214,Baseline
215,Baseline
216,Vogals
217,Vogals
218,Vogals
219,Vogals
220,Vogals
221,Vogals
222,Vogals
223,Vogals
224,Vogals
225,Vogals
226,Vogals
227,Vogals
228,Vogals
229,Vogals
230,Vogals
231,Baseline
232,Baseline
233,Baseline
234,Baseline
235,Baseline
236,Baseline
237,Phrases
238,Phrases
239,Phrases
240,Phrases
241,Phrases
242,Phrases
243,Phrases
244,Phrases
245,Phrases
246,Phrases
247,Phrases
248,Phrases
249,Phrases
250,Phrases
251,Phrases
